"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj" "uniprot" "chr"
"evgLocus_447503" 972.685941866037 -7.29929702797071 0.749653578049825 -9.73689346879309 2.09872136950616e-22 2.86202633159556e-18 "NP1L1_BOVIN" "chr_27"
"evgLocus_462821" 322.136719593702 -9.18635647791487 1.11555433832927 -8.23479068861223 1.79871845288985e-16 1.22645617710295e-12 "." NA
"evgLocus_357575" 157.770288283266 -8.23632299532221 1.0209834188994 -8.06704873248654 7.20178087254284e-16 3.27368952529556e-12 "." "chr_23"
"evgLocus_33705" 221.58972349568 -9.25633579521496 1.15305253883008 -8.02767912432397 9.93338751850233e-16 3.38654013974541e-12 "." NA
"evgLocus_83290" 241.208500329404 8.683269386088 1.12532490233395 7.71623321236266 1.19817990117428e-14 3.26791586246272e-11 "ACADM_DROME" "chr_Z"
"evgLocus_720881" 89.9030793755713 -7.34659505825193 1.0006163280166 -7.34206993485124 2.10315442569899e-13 4.78011948387618e-10 "." NA
"evgLocus_237603" 175.160814254875 -8.87350354246247 1.27314690350272 -6.96974050523895 3.17526116485537e-12 6.18586235787609e-09 "." NA
"evgLocus_25372" 144.604287482335 -8.59943754464273 1.2603135090684 -6.82325269289486 8.90018971938777e-12 1.51714859004114e-08 "CBPB_ASTAS" "chr_14"
"evgLocus_345381" 348.197042384736 -9.51479026179531 1.40536830759465 -6.77031793756632 1.28499695077334e-11 1.94705593529956e-08 "." NA
"evgLocus_12870" 146.162185978571 -8.61001657371331 1.27850989717655 -6.73441526946926 1.64590481563453e-11 2.24452039708081e-08 "." NA
"evgLocus_225808" 81.0532435122193 -7.32659840442406 1.11097925161816 -6.59472118291385 4.26055791193187e-11 4.61825478551698e-08 "." NA
"evgLocus_456794" 82.8918861443346 -7.82226264854518 1.18449129495111 -6.60390049457313 4.00478384598799e-11 4.61825478551698e-08 "." NA
"evgLocus_95998" 64.0420311519011 4.66835060627635 0.70841465076733 6.58985609800667 4.40253077742324e-11 4.61825478551698e-08 "ALG11_MOUSE" "chr_27"
"evgLocus_224651" 44.4862672134811 -6.3257502918287 0.962360971766622 -6.57315755460908 4.92592853358504e-11 4.79820624374994e-08 "." NA
"evgLocus_271036" 138.499068742613 -5.33107575331536 0.821225673459664 -6.49160873266002 8.49245836813622e-11 7.72077698441824e-08 "GAGXE_DROME" NA
"evgLocus_50108" 306.560730396869 5.78489619900587 0.896430358225919 6.45325779735357 1.09470899800534e-10 9.33034162862424e-08 "FAXC_DROME" NA
"evgLocus_272453" 58.7264296879383 -7.33773582904659 1.14474980435218 -6.4099035449926 1.45611730497624e-10 1.1680630404683e-07 "." NA
"evgLocus_271652" 60.5351873112231 6.67691618766531 1.04357027496194 6.39814715679672 1.5727367943938e-10 1.19152287028602e-07 "AP1M1_HUMAN" "chr_27"
"evgLocus_340545" 44.835672955059 -6.3334307162336 0.991884968525585 -6.38524719821906 1.7112081644697e-10 1.22819714415122e-07 "." NA
"evgLocus_476842" 47.8058127644486 -7.05227961477095 1.11106747861584 -6.34730090701301 2.1912527717752e-10 1.49410570243492e-07 "." NA
"evgLocus_491713" 63.6252089540156 4.885750723702 0.782859404166263 6.24090443022177 4.35048006985467e-10 2.82511889107657e-07 "PSB6_MOUSE" "chr_11"
"evgLocus_160981" 76.8886603234477 -6.36951629099746 1.02325905908905 -6.22473481609624 4.82371191976372e-10 2.99004361135536e-07 "." "chr_17"
"evgLocus_84206" 73.2020676690126 5.51517537328318 0.899015361066038 6.13468424693364 8.53284998882373e-10 5.05923805641692e-07 "LDH_DROME" "chr_Z"
"evgLocus_368026" 43.4499195484817 -6.90559722594997 1.13078977774258 -6.10687977719055 1.01597707507835e-09 5.54195174913741e-07 "." NA
"evgLocus_760791" 35.4299292989562 4.27232953289083 0.699523556087991 6.10748486696197 1.01213405463556e-09 5.54195174913741e-07 "GLT35_DROME" "chr_Z"
"evgLocus_477043" 48.7154134696143 -6.45179738830335 1.06675208999686 -6.04807569519018 1.4658608658343e-09 7.6884402413009e-07 "." NA
"evgLocus_398498" 122.885686972598 -8.01926449794003 1.32729732669618 -6.04179963045737 1.5240466047888e-09 7.69756427759442e-07 "SEPIA_DROME" "chr_07"
"evgLocus_564378" 1138.00617512735 10.9200562517768 1.82464943765039 5.98474206959919 2.1673303584321e-09 1.05556728921209e-06 "ATP5H_DROME" "chr_07"
"evgLocus_880131" 87.4441251382589 6.80934321950717 1.14436083376716 5.95034627066994 2.67575788771853e-09 1.2582520798213e-06 "SPEN_DROME" "chr_05"
"evgLocus_881484" 34.4873100141872 4.44039953153873 0.749395313842145 5.9253099792856 3.11708838637719e-09 1.41692447750086e-06 "." "chr_27"
"evgLocus_804631" 41.7885061346744 -6.83888260070241 1.15672148367926 -5.91229842031596 3.37366596685856e-09 1.48408654161452e-06 "." NA
"evgLocus_320819" 261.155467175293 -9.3581882813999 1.59841916946927 -5.85465218394942 4.78009329980992e-09 2.03706663529712e-06 "." "chr_01"
"evgLocus_763271" 35.5672648938776 -6.61364659398768 1.13071176342341 -5.84910037016316 4.94238800991268e-09 2.04240440276301e-06 "." NA
"evgLocus_871" 52.1506692538314 -7.13313050228631 1.23161253937619 -5.79170012827186 6.96774672402377e-09 2.76113719462744e-06 "." NA
"evgLocus_891266" 115.168093271178 -7.42895433871523 1.28331913298662 -5.78885964352929 7.08658809209948e-09 2.76113719462744e-06 "COPZ1_BOVIN" "chr_24"
"evgLocus_35150" 230.099461037379 -9.17088283259161 1.61473043355368 -5.6795132128701 1.35078615878225e-08 5.11685301314266e-06 "." "chr_20"
"evgLocus_237366" 28.7376380817342 -5.04559472005755 0.89217793537025 -5.65536819509401 1.55512532116262e-08 5.73168756883638e-06 "RTBS_DROME" NA
"evgLocus_2271" 70.9375300772885 -3.62413759036705 0.64193136525885 -5.64567769469508 1.64531830978716e-08 5.90452783962303e-06 "GALM_BOVIN" "chr_27"
"evgLocus_24347" 86.3664455043679 -4.99076192772078 0.892822363411708 -5.58987110117826 2.27238231486266e-08 7.94576349430311e-06 "MYLK_BOVIN" "chr_27"
"evgLocus_642896" 32.3230021322554 5.76617179291317 1.03323492145938 5.5806977417767 2.39555629069178e-08 8.16705028404096e-06 "NUCB1_MOUSE" "chr_Z"
"evgLocus_447404" 582.125143571358 9.95221327261548 1.78850592203284 5.56454029590446 2.6284438842971e-08 8.53430696432372e-06 "SEPIA_DROME" "chr_07"
"evgLocus_733857" 289.813265567367 8.94649934587702 1.60709490160154 5.56687681415792 2.59345598575013e-08 8.53430696432372e-06 "TCPA_DROME" "chr_03"
"evgLocus_758631" 24.8625927718032 -3.53398168936467 0.637617111386488 -5.54248251224011 2.98213195011257e-08 9.45751939620586e-06 "POLX_TOBAC" "chr_06"
"evgLocus_245510" 48.8247409591094 -6.219104289498 1.12425265302627 -5.53176750151079 3.17019931687299e-08 9.60711290759934e-06 "." NA
"evgLocus_735190" 779.164056153373 6.89414745886613 1.24576680878648 5.53405935223286 3.1290301316732e-08 9.60711290759934e-06 "CYB5A_ARATH" "chr_01"
"evgLocus_757615" 31.7610329248177 5.73996077602888 1.04457094630803 5.49504157311327 3.90618383045102e-08 1.15801367164914e-05 "CECR2_MOUSE" "chr_Z"
"evgLocus_514856" 64.6291599810114 -6.32713518843199 1.15710803689014 -5.4680591498067 4.54990061410816e-08 1.32014882286368e-05 "STMN4_RAT" "chr_01"
"evgLocus_341111" 78.0857249617583 -5.64972815572951 1.03471392958771 -5.46018372245237 4.75642115502106e-08 1.35131906856296e-05 "." NA
"evgLocus_559501" 66.8862376329047 6.81734599982332 1.26611098386431 5.38447741683438 7.26554248641119e-08 2.02204495688142e-05 "DLDH_MANSE" NA
"evgLocus_172879" 35.378149545581 -5.03575751092052 0.93723094533812 -5.37301668918304 7.74301591967725e-08 2.11183016193277e-05 "." "chr_18"
"evgLocus_33290" 103.685082835602 -8.04598371969396 1.49922467049849 -5.36676315299607 8.0162210644302e-08 2.14347464030656e-05 "SEM1A_SCHAM" "chr_10"
"evgLocus_160277" 29.6027402945999 -6.31985076729618 1.18601145875167 -5.32865911257559 9.89404976296306e-08 2.54805556598959e-05 "DLDH_MANSE" NA
"evgLocus_758174" 15.5168966037039 -5.44207772701195 1.02131605748131 -5.3284952166842 9.90298049405649e-08 2.54805556598959e-05 "LATS1_MOUSE" "chr_03"
"evgLocus_456264" 37.8992971067961 -6.07940231412761 1.14893169846323 -5.29135223813494 1.214152649002e-07 3.06618512489634e-05 "." "chr_Z"
"evgLocus_386440" 58.4969571720226 2.91166503272706 0.553946631262517 5.25621940527193 1.47046849721336e-07 3.64595979936339e-05 "." "chr_27"
"evgLocus_582139" 130.619768285024 5.51882438909686 1.05068869195733 5.25257807697142 1.49984850589432e-07 3.65239894194301e-05 "DLDH_MANSE" NA
"evgLocus_794223" 30.7471339018738 -4.52475258230865 0.868811916248837 -5.20797712103744 1.90910457302471e-07 4.56744895830491e-05 "PAPSS_URECA" "chr_13"
"evgLocus_83394" 108.01378585396 3.02537260711696 0.581321342916738 5.20430334096692 1.94725710214324e-07 4.57840432791851e-05 "DDX49_DROME" "chr_27"
"evgLocus_109998" 83.6390477715461 2.48308487394291 0.477524014616571 5.19991623025852 1.99378364412973e-07 4.60834365338935e-05 "GRND_DROME" "chr_Z"
"evgLocus_616469" 61.0097928879373 6.69733406134345 1.29108230478238 5.18737963996207 2.13273675427626e-07 4.84735518634422e-05 "." "chr_03"
"evgLocus_122372" 101.92544543079 -8.00670021135502 1.55432227332345 -5.15124845649615 2.58758114801029e-07 5.76841754520657e-05 "." "chr_20"
"evgLocus_160037" 70.0912328086044 -7.49001941238699 1.45496646259326 -5.14789832271263 2.63421205048401e-07 5.76841754520657e-05 "LENG8_HUMAN" "chr_07"
